trans_id,account_id,anomaly_score,is_anomaly,date,amount,balance,type,operation,k_symbol
753736,2572,0.6314793689974147,True,941207,73228.0,73828.0,PRIJEM,PREVOD Z UCTU,
1534971,5228,0.6310922343451688,True,981205,74522.0,142169.0,PRIJEM,PREVOD Z UCTU,
968246,3300,0.6302054618766552,True,971214,70078.0,124057.4,PRIJEM,PREVOD Z UCTU,
2477181,8173,0.6298605096667244,True,931205,61260.0,122523.5,PRIJEM,PREVOD Z UCTU,
1530384,5213,0.6298125683833106,True,951205,70071.0,130775.0,PRIJEM,PREVOD Z UCTU,
889904,3035,0.6292452831150832,True,931211,69468.0,114483.2,PRIJEM,PREVOD Z UCTU,
721551,2471,0.6286077414728476,True,971206,65392.0,131101.6,PRIJEM,PREVOD Z UCTU,
635547,2170,0.62860191748005,True,981206,74770.0,156459.0,PRIJEM,PREVOD Z UCTU,
2580440,8523,0.6282441807034965,True,981211,69780.0,115610.2,PRIJEM,PREVOD Z UCTU,
859553,2929,0.6278284733508622,True,971205,54874.0,119505.2,PRIJEM,PREVOD Z UCTU,
1534959,5228,0.6277956350316539,True,971205,74522.0,127459.0,PRIJEM,PREVOD Z UCTU,
503603,1718,0.6277163086369616,True,971213,65892.0,126478.3,PRIJEM,PREVOD Z UCTU,
3335919,11079,0.627391312126122,True,971211,73724.0,146540.3,PRIJEM,PREVOD Z UCTU,
721539,2471,0.6273273011346395,True,961206,65392.0,128580.4,PRIJEM,PREVOD Z UCTU,
1040428,3558,0.6272207971729707,True,981212,65614.0,140341.9,PRIJEM,PREVOD Z UCTU,
2383437,7859,0.6270102062719299,True,981213,54092.0,146957.6,PRIJEM,PREVOD Z UCTU,
3324335,11042,0.6269794875859955,True,961205,54286.0,112780.8,PRIJEM,PREVOD Z UCTU,
303166,1032,0.6268814785483056,True,951205,74648.0,138363.0,PRIJEM,PREVOD Z UCTU,
1548797,5270,0.6268657777702824,True,961214,67124.0,120704.4,PRIJEM,PREVOD Z UCTU,
1548785,5270,0.6268657777702824,True,951214,67124.0,122719.7,PRIJEM,PREVOD Z UCTU,
79351,266,0.6267616104442807,True,971212,74628.0,134565.1,PRIJEM,PREVOD Z UCTU,
19869,67,0.6266176087139605,True,981205,62235.0,127579.4,PRIJEM,PREVOD Z UCTU,
1534911,5228,0.6266176087139605,True,931205,74522.0,134416.6,PRIJEM,PREVOD Z UCTU,
855446,2915,0.6266050996700034,True,971210,71974.0,137318.6,PRIJEM,PREVOD Z UCTU,
